Word,Frequency,PMI,R_Entropy,L_Entropy
号,95,80,5.0952524252836655,5.433051053682032
利,95,80,4.8419415726878645,5.51987028241669
倡,95,80,3.7393086953993864,5.141365114618163
夜,94,80,5.579602250701623,5.221882538941624
史,94,80,5.485127947284216,5.154105048199703
兼,94,80,5.347803470930138,5.328236326572915
陵,94,80,5.333376218491772,4.946765150509898
伐,94,80,4.678231071190703,4.754904424833295
怒,94,80,4.471924285096974,4.0107874690345575
谐,94,80,4.28349728188328,3.9272766066682965
召,94,80,3.4979145173724207,4.533909084254576
习,93,80,5.2333315595357295,5.181955483315648
说,93,80,5.065872985770198,3.4269984725943146
少,93,80,4.831148769663794,5.48375247462744
辟,93,80,4.45639775965905,5.240759201230041
府,92,80,5.4781482005708755,3.2357648717449727
轻,92,80,4.731879648567509,5.114458078551755
杀,92,80,4.616788282116125,4.512564461242707
遗,92,80,4.154997771018697,3.942352469067001
耶,91,80,5.424006354507712,5.58209320110499
奉,91,80,5.079077404282818,5.355764175484029
宴,91,80,4.9467494484590135,5.659736995993351
依,91,80,4.814811444148927,4.511676160169046
荐,91,80,4.691684628043837,5.106384013808569
简,91,80,4.390017028623637,5.219913289022198
真,90,80,5.309728515114523,5.571045277706347
封,90,80,5.248627369530439,5.185671631870532
求,90,80,4.419850420790335,5.6210857378325585
宿,90,80,4.363182560777093,3.554997196416972
对,90,80,4.285187560680937,5.016775627338025
禹,90,80,4.134800065089347,4.806432646229092
即,89,80,5.359348639547401,5.61360920677314
原,88,80,4.937657221354417,4.961576821859925
贱,88,80,4.477867625844441,3.220719609890835
旄,88,80,3.7340101916247006,3.787542764561384
半,87,80,5.02776945625224,5.04764263070412
肃,87,80,4.8101261113853795,4.710694337217502
载,86,80,5.389992481693218,5.3078832492674
就,86,80,5.181210540086225,5.423187283696396
响,86,80,4.6764648023740225,2.645420697045279
敔,86,80,4.6512392120240245,2.553508902670221
视,86,80,3.886043084491528,5.016215547354358
质,85,80,5.484214149713356,4.713569567277209
